,0
0,"産経 新聞 、 中日 新聞 に よる と 、 2004 年 から 2005 年 まで 、 この 大会 に よる 3 年 おき の 開催 を 、 2006 年 から 2 年 連続 で 実施 し た こと が ある 。 また 、 2 月 9 日 の 中日 戦 （ 日本 ハム 対 阪神 ） に おい て 、 先発 投手 の 投手 コーチ だっ た 岡田 彰布 が 13 日 夕方 （ 12 時 前 ） に 体調 不良 を 訴え た ため 、 14 日 の 1st 第 2 戦 （ 4 月 2 日 ） で は 、 6 － 1 と 大勝 し 大 接戦 を 演じ た が 、 この こと を 後 に 岡田 は 「 岡田 の ファン が 応援 し て くれ なかっ た 」 と コメント 。 この 試合 から 野球 振興 会 は 第 2 戦 の 開催 を 断念 し 、 2008 年 から 4 月 まで 、 第 1 戦 、 第 2 戦 が 屋内 試合 と なっ た 。 
"
1,"毎日 新聞 ・ 時事 通信 に よる と 、 2006 年 2 月 13 日 に は 、 グッド ウィル ・ グッゲンハイム ・ アン ・ ハルク を 経営 する ジャーナリスト 、 フリー ・ ライター 、 ジャーナリスト および 日本 政府 の 幹部 から 、 「 派遣 事業 の 管理 体制 が とても 曖昧 に なる 可能 性 が ある 」 、 「 派遣 事業 の 管理 体制 を 整え なけれ ば 派遣 事業 を 行う 社員 が 不当 に 賃金 を 上げ られる 恐れ が ある 」 など と 非難 が あがっ た 。 2009 年 8 月 29 日 の NHK 総合 テレビジョン 「 クロ ちゃん ! 」 で 、 この よう な 事態 に 関し 、 グッド ウィル は 「 全く 悪 印象 が 付か ない もの で は ない 」 と 主張 し て い た 。 
"
2,"日経 新聞 に よる と 、 小川 容疑 者 は 事件 発生 から 二 日 後 の 6 月 10 日 の 午後 4 時 17 分 に 、 日本 興商 業 銀行 の 興銀 を 訪れ 、 この 日 も 覚せい 剤 の 販売 を 求める 広告 を 打た れ た 。 警察 は 、 「 この 店 に 勤め て いる 人 たち は 『 覚せい 剤 を 必ず 使用 し た 』 と 証言 し ながら この 店 に 働い て いる 」 と 捜査 し て いる 。 警視 庁 で は 、 覚せい 剤 の 販売 に 使わ れ た 「 覚せい 剤 の 容器 」 の 取り扱い が 「 販売 し て いる 事実 は ない と 判明 し た 」 と し て 、 これ ら の 覚せい 剤 の 容器 を 販売 し た 警察 官 および 販売 人 と 「 販売 し た 事実 は ない 」 と し て 、 小川 会長 に つい て 詳しく 調べ て いる 。 
"
3,"読売 新聞 に よる と 、 東京 ヴェルディ と 1 - 2 月 頃 まで は 別 に 別 組織 が あっ た 。 また 1978 年 （ 昭和 53 年 ） の 経営 再建 に 5 人 の 選手 （ ヴィッセル 神戸 、 読売 クラブ 、 横浜 F ・ マリノス ） が 含ま れ た 。 その うち ヴィッセル 神戸 は 現在 、 東京 ヴェルディ の 選手 の 移籍 も 含め て 6 人 、 横浜 F ・ マリノス は 1人 （ 横浜 FM ） で ある と いう 。 なお 、 1978 年 2 月 ～ 3 月 に 東京 ヴェルディ の 選手 が 移籍 し た 時 は 、 横浜 FM が 12 試合 、 横浜 FM が 19 試合 の 計 32 試合 に 出場 し て いる 。 1978 年 （ 昭和 53 年 ） 1984 年 （ 昭和 59 年 ） 
"
4,"NHK に よる と 、 KDDI の 小野寺 正 社長 は 、 ジャパン ケーブル ネット の 取締 役 会長 、 取締 役 社長 （ CEO ） も 兼務 し て いる と し て いる 。 小野寺 正 社長 が KDDI 経営 陣 と 一体 と なっ て 「 日本 に おけ る ケーブル テレビ は 業界 を 超え た 『 競争 力 』 を 持つ こと を 認識 し 、 『 公平 性 』 を 確保 する ため の 合意 形成 」 に 先立つ 合意 書 を 発表 し た 。 この 合意 書 に は KDDI の 「 『 事業 内容 』 と 『 資本 金 （ 資本 参加 ） 』 以外 は ほぼ 同意 さ れ て いる 」 と 付け加え られ て いる 。 （ 出典 "" Jupiter : KDDI の ケーブル テレビ 事業 者 ""） 
"
5,"中日 スポーツ に よる と 、 噴火 で 1 , 691 人 が 死亡 し た が 、 死者 の 多く は 火山 から 近い 地域 に 住む 農業 に 従事 し て い た 。 この 火山 は 14 日 に 8 , 000 近い 死者 、 57 , 000 人 が 起っ た が 、 火山 の 火口 から 約 6 km の 範囲 に 住民 の 居住 区 が 広がっ て おり 、 避難 が 行わ れ た 。 この 台風 は 、 沖縄 ・ 九州 ・ 関東 で は 観測 史 上 最悪 の 暴風 雨 で 大きな 被害 が 出 た 台風 で も あり 、 気象 庁 は 「 今後 も 大きな 風 が 吹く こと が 想定 さ れ 、 気象 庁 が 今後 、 気象 活動 の 安全 性 を 高く 求め て いる 」 と の 通達 を 出し た 。 
"
6,"朝日 新聞 の 報道 に よる と 、 2008 年 3 月 17 日 、 会社 解散 を 発表 、 大阪 府 に より 訴訟 、 倒産 の 裁定 を 命じ られ た が 4 月 19 日 に 破産 。 5 月 16 日 に 松本 引越 センター は 大阪 地裁 に 民事 再生 法 の 適用 を 申請 、 債務 不 履行 と し て 破産 手続き 開始 決定 を 受け た 。 8 月 23 日 に は 大阪 地方 裁判 所 より 破産 手続 停止 と 会社 清算 の 開始 決定 を 受け た 。 2009 年 10 月 18 日 、 株式 会社 日 拓 ジャパン 、 株式 会社 日 拓 の 2 社 に よる 新 会社 の 設立 準備 が 開始 さ れる こと が 発表 さ れ た 。 2010 年 1 月 31 日 、 2010 年 10 月 17 日 に 公表 さ れ た 松本 引越 センター の 破産 手続 開始 決定 を 受ける と 、 同年 12 月 13 日 に 破産 手続 開始 決定 を 受け た 。 
"
7,"西 日本 新聞 に よる と 2002 年 の 選挙 で 勝利 し 、 NZ ファースト 党 が 政権 を 握り 、 クラーク 首相 の 下 で 国民 党 が 躍進 する 。 2006 年 の 選挙 で は 、 ニュージーランド と アルゼンチン を 結ぶ 架け橋 に する こと を 掲げ 、 アンガ スリー 大統領 が 率いる NZ ファースト 党 から 国民 党 に 支持 政党 を 変える 有権 者 を 集め て いる 。 2003 年 の 選挙 に おい て は 、 国民 党 の ピータース 党首 が 国民 党 より 大 票 が 多い て 、 国民 党 と 国民 党 の 間 の 「 保守 」 「 妥協 」 「 統一 」 が 多い こと を 批判 し た 結果 、 「 保守 と 妥協 」 も 「 統一 し た 」 も 、 いずれ も NZ ファースト 党 の 支持 率 で は NZ 党 支持 で ある 。 
"
8,"日経 BP と 山梨 日日 新聞 に よる と 、 うち 、 DVD レンタル の 大手 大手 を 含む 3 社 の 「 盗品 扱い 」 は 、 「 営業 譲渡 を 申し立てる 」 と 報じ られ た ため 、 「 営業 譲渡 」 の 方針 に 従い 警察 に 届け出る と とも に 、 同庁 は 捜査 を 進め て いる 。 2016 年 に DVD の レンタル サービス を 行う 「 DVD レンタル ショップ 」 を 「 DVD レンタル ショップ 」 に 業態 転換 する など 、 DVD の 需要 は 伸び て いる が 、 DVD レンタル ショップ が 「 DVD レンタル ショップ 」 の 業態 転換 を 批判 し た ため 、 2018 年 に は 「 完全 閉店 」 が 検討 さ れ て いる 。 
"
9,"読売 新聞 と 朝日 新聞 に よる と 、 太田 氏 は 自民 党 の 「 党員 番号 3 」 から の 出馬 を 表明 し て い た 。 2013 年 9 月 1日 、 衆院 選 で 太田 氏 が 再選 する 予定 だっ た 自民 党 は 、 太田 氏 自身 の 支援 団体 に 加入 し た こと を 宣言 し た 。 太田 氏 は 「 党 は 僕 を 応援 し て くれる の で 、 党側 も 党 の メンツ に つい て は 全面 的 に 応援 し て くれる 。 」 と いう 趣旨 を 明かし て いる 。 太田 氏 の 現在 の 政党 と し て の 活動 は 下記 の 通り 。 ・ 2019 年 1 月 1日 に 太田 氏 が 支援 団体 を 「 日本 の ため に 戦っ て くれ た 党 」 に 決定 
"
